Frame_410nm,MeanInt_410nm,Time_410nm,Realtime_410nm,Frame_470nm,MeanInt_470nm,Time_470nm,Realtime_470nm
2,1338.081287,0.1,14:51.6,1,951.2923278,0.05,14:51.5
4,1026.983699,0.2,14:51.7,3,949.6231254,0.15,14:51.6
6,1026.795914,0.3,14:51.8,5,948.9623995,0.25,14:51.7
8,1026.615084,0.4,14:51.9,7,947.6687677,0.35,14:51.8
10,1026.469028,0.5,14:52.0,9,947.174962,0.45,14:51.9
12,1026.642904,0.6,14:52.1,11,945.5335797,0.55,14:52.0
14,1026.197783,0.7,14:52.2,13,945.2136492,0.65,14:52.1
16,1026.107368,0.8,14:52.3,15,943.7739622,0.75,14:52.2
18,1025.808303,0.9,14:52.4,17,943.7252771,0.85,14:52.3
20,1026.086503,1,14:52.5,19,941.8752445,0.95,14:52.4
22,1025.975223,1.1,14:52.6,21,941.2423386,1.05,14:52.5
24,1025.829168,1.2,14:52.7,23,941.2840687,1.15,14:52.6
26,1025.856988,1.3,14:52.8,25,940.6928928,1.25,14:52.7
28,1025.738752,1.4,14:52.9,27,939.6705064,1.35,14:52.8
30,1025.474462,1.5,14:53.0,29,939.1280156,1.45,14:52.9
32,1025.516192,1.6,14:53.1,31,938.5785699,1.55,14:53.0
34,1025.370137,1.7,14:53.2,33,938.9750054,1.65,14:53.1
36,1025.175397,1.8,14:53.3,35,939.1558357,1.75,14:53.2
38,1025.335362,1.9,14:53.4,37,938.5855249,1.85,14:53.3
40,1025.397957,2,14:53.5,39,938.8359052,1.95,14:53.4
42,1025.300587,2.1,14:53.6,41,938.6063899,2.05,14:53.5
44,1025.050206,2.2,14:53.7,43,939.1906107,2.15,14:53.6
46,1024.987611,2.3,14:53.8,45,937.8691589,2.25,14:53.7
48,1025.370137,2.4,14:53.9,47,936.9441426,2.35,14:53.8
50,1025.105847,2.5,14:54.0,49,937.7578787,2.45,14:53.9
52,1024.883286,2.6,14:54.1,51,938.67594,2.55,14:54.0
54,1024.772006,2.7,14:54.2,53,937.1736579,2.65,14:54.1
56,1024.876331,2.8,14:54.3,55,939.7052815,2.75,14:54.2
58,1024.751141,2.9,14:54.4,57,939.0584656,2.85,14:54.3
60,1024.862421,3,14:54.5,59,938.8706803,2.95,14:54.4
62,1024.723321,3.1,14:54.6,61,937.5214084,3.05,14:54.5
64,1024.876331,3.2,14:54.7,63,938.0778092,3.15,14:54.6
66,1024.660726,3.3,14:54.8,65,938.2864595,3.25,14:54.7
68,1024.765051,3.4,14:54.9,67,938.2586394,3.35,14:54.8
70,1024.890241,3.5,14:55.0,69,936.7285373,3.45,14:54.9
72,1024.584221,3.6,14:55.1,71,938.8359052,3.55,14:55.0
74,1024.869376,3.7,14:55.2,73,937.8343838,3.65,14:55.1
76,1024.709411,3.8,14:55.3,75,939.7400565,3.75,14:55.2
78,1024.883286,3.9,14:55.4,77,939.364486,3.85,14:55.3
80,1024.855466,4,14:55.5,79,939.3297109,3.95,14:55.4
82,1024.667681,4.1,14:55.6,81,939.2392958,4.05,14:55.5
84,1025.050206,4.2,14:55.7,83,937.7439687,4.15,14:55.6
86,1024.688546,4.3,14:55.8,85,938.8219952,4.25,14:55.7
88,1024.911106,4.4,14:55.9,87,937.7856988,4.35,14:55.8
90,1024.730276,4.5,14:56.0,89,937.5840035,4.45,14:55.9
92,1024.695501,4.6,14:56.1,91,938.7594001,4.55,14:56.0
94,1024.625951,4.7,14:56.2,93,939.7331015,4.65,14:56.1
96,1024.605086,4.8,14:56.3,95,937.5074984,4.75,14:56.2
98,1024.772006,4.9,14:56.4,97,939.6357314,4.85,14:56.3
100,1024.653771,5,14:56.5,99,937.7370137,4.95,14:56.4
102,1024.486851,5.1,14:56.6,101,937.7856988,5.05,14:56.5
104,1024.326885,5.2,14:56.7,103,936.7007172,5.15,14:56.6
106,1024.417301,5.3,14:56.8,105,935.7687459,5.25,14:56.7
108,1024.639861,5.4,14:56.9,107,933.8978483,5.35,14:56.8
110,1024.528581,5.5,14:57.0,109,935.5253206,5.45,14:56.9
112,1024.465986,5.6,14:57.1,111,933.6405129,5.55,14:57.0
114,1024.06955,5.7,14:57.2,113,934.9967398,5.65,14:57.1
116,1024.243425,5.8,14:57.3,115,933.7935231,5.75,14:57.2
118,1024.104325,5.9,14:57.4,117,933.6057379,5.85,14:57.3
120,1024.486851,6,14:57.5,119,933.7935231,5.95,14:57.4
122,1024.716366,6.1,14:57.6,121,933.0423821,6.05,14:57.5
124,1024.521626,6.2,14:57.7,123,931.8530754,6.15,14:57.6
126,1024.354705,6.3,14:57.8,125,933.0354271,6.25,14:57.7
128,1024.472941,6.4,14:57.9,127,934.3012389,6.35,14:57.8
130,1024.22256,6.5,14:58.0,129,932.5207564,6.45,14:57.9
132,1024.417301,6.6,14:58.1,131,933.7448381,6.55,14:58.0
134,1024.389481,6.7,14:58.2,133,933.8491632,6.65,14:58.1
136,1024.438166,6.8,14:58.3,135,933.3484025,6.75,14:58.2
138,1024.326885,6.9,14:58.4,137,932.4998913,6.85,14:58.3
140,1024.312975,7,14:58.5,139,930.5942186,6.95,14:58.4
142,1024.375571,7.1,14:58.6,141,932.4303412,7.05,14:58.5
144,1024.445121,7.2,14:58.7,143,930.830689,7.15,14:58.6
146,1024.243425,7.3,14:58.8,145,933.2718974,7.25,14:58.7
148,1024.445121,7.4,14:58.9,147,931.6583351,7.35,14:58.8
150,1024.403391,7.5,14:59.0,149,929.7804825,7.45,14:58.9
152,1024.062595,7.6,14:59.1,151,929.8013475,7.55,14:59.0
154,1024.591176,7.7,14:59.2,153,928.5146707,7.65,14:59.1
156,1024.187785,7.8,14:59.3,155,929.8430776,7.75,14:59.2
158,1024.34775,7.9,14:59.4,157,931.0532493,7.85,14:59.3
160,1024.354705,8,14:59.5,159,930.0308629,7.95,14:59.4
162,1024.146055,8.1,14:59.6,161,931.7904803,8.05,14:59.5
164,1024.396436,8.2,14:59.7,163,932.3329711,8.15,14:59.6
166,1024.25038,8.3,14:59.8,165,930.0169528,8.25,14:59.7
168,1024.22256,8.4,14:59.9,167,930.7611389,8.35,14:59.8
170,1024.30602,8.5,15:00.0,169,929.391002,8.45,14:59.9
172,1024.23647,8.6,15:00.1,171,931.3314497,8.55,15:00.0
174,1024.403391,8.7,15:00.2,173,931.0671593,8.65,15:00.1
176,1024.1391,8.8,15:00.3,175,931.2201695,8.75,15:00.2
178,1024.201695,8.9,15:00.4,177,931.4496849,8.85,15:00.3
180,1024.500761,9,15:00.5,179,930.2534232,8.95,15:00.4
182,1024.243425,9.1,15:00.6,181,930.6011737,9.05,15:00.5
184,1024.312975,9.2,15:00.7,183,930.5316236,9.15,15:00.6
186,1024.076505,9.3,15:00.8,185,931.2062595,9.25,15:00.7
188,1024.146055,9.4,15:00.9,187,931.1088894,9.35,15:00.8
190,1024.173875,9.5,15:01.0,189,931.1714845,9.45,15:00.9
192,1024.02782,9.6,15:01.1,191,931.9852206,9.55,15:01.0
194,1024.187785,9.7,15:01.2,193,930.0030428,9.65,15:01.1
196,1024.22256,9.8,15:01.3,195,929.7943925,9.75,15:01.2
198,1024.132145,9.9,15:01.4,197,930.4412084,9.85,15:01.3
200,1024.20865,10,15:01.5,199,928.681591,9.95,15:01.4
202,1024.542491,10.1,15:01.6,201,928.7789611,10.05,15:01.5
204,1024.04173,10.2,15:01.7,203,929.3423169,10.15,15:01.6
206,1024.132145,10.3,15:01.8,205,929.7248424,10.25,15:01.7
208,1024.403391,10.4,15:01.9,207,930.2742882,10.35,15:01.8
210,1024.18083,10.5,15:02.0,209,928.1808303,10.45,15:01.9
212,1024.229515,10.6,15:02.1,211,929.9056727,10.55,15:02.0
214,1024.118235,10.7,15:02.2,213,927.6035644,10.65,15:02.1
216,1024.11128,10.8,15:02.3,215,928.7650511,10.75,15:02.2
218,1024.146055,10.9,15:02.4,217,928.8624212,10.85,15:02.3
220,1023.951315,11,15:02.5,219,928.6120409,10.95,15:02.4
222,1024.285155,11.1,15:02.6,221,930.9976092,11.05,15:02.5
224,1023.74962,11.2,15:02.7,223,928.9319713,11.15,15:02.6
226,1024.18083,11.3,15:02.8,225,929.7804825,11.25,15:02.7
228,1023.840035,11.4,15:02.9,227,930.1977831,11.35,15:02.8
230,1024.08346,11.5,15:03.0,229,930.4481634,11.45,15:02.9
232,1024.118235,11.6,15:03.1,231,928.7720061,11.55,15:03.0
234,1024.12519,11.7,15:03.2,233,929.3770919,11.65,15:03.1
236,1023.965225,11.8,15:03.3,235,928.5216257,11.75,15:03.2
238,1024.1391,11.9,15:03.4,237,929.2866768,11.85,15:03.3
240,1024.396436,12,15:03.5,239,928.695501,11.95,15:03.4
242,1023.95827,12.1,15:03.6,241,929.7039774,12.05,15:03.5
244,1024.146055,12.2,15:03.7,243,928.8902413,12.15,15:03.6
246,1024.257335,12.3,15:03.8,245,929.1058466,12.25,15:03.7
248,1023.979135,12.4,15:03.9,247,927.5131493,12.35,15:03.8
250,1024.02782,12.5,15:04.0,249,928.744186,12.45,15:03.9
252,1024.16692,12.6,15:04.1,251,930.7124538,12.55,15:04.0
254,1024.06955,12.7,15:04.2,253,929.6066073,12.65,15:04.1
256,1024.19474,12.8,15:04.3,255,929.4675071,12.75,15:04.2
258,1024.410346,12.9,15:04.4,257,929.6900674,12.85,15:04.3
260,1024.006955,13,15:04.5,259,929.6831124,12.95,15:04.4
262,1024.062595,13.1,15:04.6,261,929.3562269,13.05,15:04.5
264,1023.965225,13.2,15:04.7,263,927.3670941,13.15,15:04.6
266,1023.70789,13.3,15:04.8,265,926.9845686,13.25,15:04.7
268,1024.048685,13.4,15:04.9,267,927.9234949,13.35,15:04.8
270,1024.104325,13.5,15:05.0,269,927.3740491,13.45,15:04.9
272,1024.20865,13.6,15:05.1,271,927.7983047,13.55,15:05.0
274,1023.87481,13.7,15:05.2,273,927.1375788,13.65,15:05.1
276,1024.25038,13.8,15:05.3,275,927.6800696,13.75,15:05.2
278,1024.257335,13.9,15:05.4,277,929.6274723,13.85,15:05.3
280,1023.784395,14,15:05.5,279,925.9482721,13.95,15:05.4
282,1023.909585,14.1,15:05.6,281,927.6313845,14.05,15:05.5
284,1023.97218,14.2,15:05.7,283,927.0054336,14.15,15:05.6
286,1024.11128,14.3,15:05.8,285,927.8400348,14.25,15:05.7
288,1023.867855,14.4,15:05.9,287,927.9165399,14.35,15:05.8
290,1024.29211,14.5,15:06.0,289,928.6329059,14.45,15:05.9
292,1024.076505,14.6,15:06.1,291,927.3949141,14.55,15:06.0
294,1024.285155,14.7,15:06.2,293,930.6429037,14.65,15:06.1
296,1023.756575,14.8,15:06.3,295,930.8932841,14.75,15:06.2
298,1024.19474,14.9,15:06.4,297,930.121278,14.85,15:06.3
300,1023.90263,15,15:06.5,299,929.5022821,14.95,15:06.4
302,1023.76353,15.1,15:06.6,301,929.4814171,15.05,15:06.5
304,1023.8609,15.2,15:06.7,303,929.3562269,15.15,15:06.6
306,1023.840035,15.3,15:06.8,305,928.723321,15.25,15:06.7
308,1023.951315,15.4,15:06.9,307,930.0447729,15.35,15:06.8
310,1024.048685,15.5,15:07.0,309,929.4814171,15.45,15:06.9
312,1024.020865,15.6,15:07.1,311,930.156053,15.55,15:07.0
314,1023.770485,15.7,15:07.2,313,928.695501,15.65,15:07.1
316,1024.006955,15.8,15:07.3,315,929.7804825,15.75,15:07.2
318,1024.062595,15.9,15:07.4,317,929.9265377,15.85,15:07.3
320,1023.673115,16,15:07.5,319,931.6235601,15.95,15:07.4
